id,nombre,url,talla,product_id,sku,notificado,ultimo_estado
1,ZUECO PIEL HEBILLA,https://www.zara.com/es/es/zueco-piel-hebilla-p12721620.html?v1=495716335,42,495716335,495712891,False,out_of_stock
2,VESTIDO MINI VOLUMEN CUADRO VICHY,https://www.zara.com/es/es/vestido-mini-volumen-cuadro-vichy-p03152395.html?v1=528575704&v2=2580229,XS,528575704,528564798,False,low_on_stock
